x1,x2,x3,x4,x5,Time
5.52E-01,1.79E-01,5.50E-01,-9.10E-01,4.02E-01,0.214
-7.90E-01,-2.74E+00,-5.28E-01,-2.53E+00,-2.05E+00,0.216
-2.64E-01,-1.22E+00,5.27E-01,-1.14E+00,-1.28E+00,0.218
-1.57E+00,-1.74E+00,-2.23E+00,-2.14E+00,-2.13E+00,0.22
1.07E+00,6.53E-01,8.95E-01,7.52E-01,-6.82E-01,0.222
-1.66E+00,-1.54E+00,-1.03E+00,-7.85E-01,-2.69E-01,0.224
-1.79E-01,5.21E-01,4.99E-02,5.30E-01,6.66E-01,0.226
-1.14E+00,-2.94E+00,-3.78E-01,-1.99E+00,-1.43E+00,0.228
-1.91E+00,-1.97E+00,-1.46E+00,-1.84E+00,-4.87E-01,0.23
-2.72E+00,-3.79E+00,-3.36E+00,-4.01E+00,-2.39E+00,0.232
-5.60E-01,-1.99E+00,1.34E+00,-5.83E-01,-8.61E-01,0.234
-2.31E+00,-3.04E+00,-1.92E+00,-2.73E+00,-4.54E+00,0.236
-1.73E-01,2.56E-01,-9.26E-01,-3.02E-01,-1.77E+00,0.238
2.79E-01,1.07E+00,-1.03E-01,1.67E+00,3.82E-01,0.24
1.42E+00,2.79E+00,1.76E+00,2.83E+00,4.05E+00,0.242
-1.03E+00,-3.11E+00,-1.75E+00,-4.36E+00,-4.88E+00,0.244
1.05E-02,-1.12E+00,3.58E-01,6.25E-01,-2.00E-01,0.246
-2.62E-01,-2.61E-01,-1.42E+00,-2.03E-01,5.15E-01,0.248
9.62E-01,-2.48E-01,4.66E-01,-7.67E-01,-1.87E+00,0.25
-2.25E+00,-2.43E+00,-2.13E+00,-2.73E+00,-3.49E+00,0.252
7.00E-01,-5.51E-01,1.12E+00,-4.91E-03,3.36E-01,0.254
5.06E-01,2.58E+00,7.45E-01,2.58E+00,2.03E+00,0.256
-2.14E-01,8.28E-01,-5.15E-01,5.65E-01,5.38E-02,0.258
-9.18E-01,-4.52E-01,-3.76E+00,-3.15E+00,-9.69E-01,0.26
-3.19E-01,-2.76E+00,-5.95E-01,-2.08E+00,-4.56E+00,0.262
3.90E-01,-4.84E-01,3.54E-01,-2.59E-01,-2.78E+00,0.264
7.58E-01,7.15E-02,1.97E+00,9.47E-01,5.70E-01,0.266
-1.86E+00,-2.44E+00,-1.41E+00,-2.05E+00,-2.23E+00,0.268
-5.49E-01,4.36E-01,-1.11E+00,-3.74E-01,-7.73E-02,0.27
-9.30E-01,-2.17E-01,2.90E-01,7.55E-01,7.56E-01,0.272
7.37E-01,8.20E-01,1.28E-01,1.59E+00,1.47E+00,0.274
-2.57E+00,-2.95E+00,-2.67E+00,-3.57E+00,-1.57E+00,0.276
7.73E-02,7.17E-01,5.73E-01,1.11E+00,2.36E-01,0.278
2.02E+00,3.96E+00,3.64E+00,4.93E+00,4.39E+00,0.28
-1.50E+00,-2.65E+00,-3.95E-01,-1.57E+00,-3.74E-01,0.282
3.23E+00,3.83E+00,4.15E+00,3.56E+00,4.56E+00,0.284
-1.45E+00,-1.05E+00,-2.46E+00,-2.92E+00,-1.00E+00,0.286
1.36E+00,1.03E+00,2.37E-01,-1.66E-02,1.43E+00,0.288
-9.10E-02,-9.92E-01,-8.62E-01,-1.00E+00,1.59E+00,0.29
8.86E-01,-4.52E-01,7.15E-01,-1.75E-01,-9.22E-01,0.292
-8.34E-01,-9.54E-01,-1.55E-01,-7.16E-01,-7.68E-01,0.294
2.61E+00,3.57E+00,3.35E+00,3.66E+00,2.36E+00,0.296
-7.64E-01,-2.58E+00,-9.92E-01,-2.14E+00,-1.23E+00,0.298
5.34E+00,6.00E+00,5.42E+00,4.94E+00,5.76E+00,0.3
-1.25E+00,-1.61E+00,-1.32E-01,-1.25E+00,-2.08E+00,0.302
2.34E-01,-6.38E-01,5.03E-01,-4.01E-01,-2.06E+00,0.304
-1.72E-01,3.29E-01,5.39E-01,8.64E-02,1.02E+00,0.306
6.67E-01,6.30E-01,1.84E+00,1.70E+00,1.63E-01,0.308
-2.69E+00,-2.78E+00,-1.95E+00,-2.48E+00,-2.23E+00,0.31
1.54E+00,-6.59E-01,2.62E+00,3.69E-01,1.82E-01,0.312
7.26E-01,1.64E+00,7.57E-01,1.59E+00,7.45E-01,0.314
1.70E-01,1.06E+00,8.59E-01,5.81E-01,2.52E+00,0.316
-3.30E-01,-5.79E-02,1.18E+00,1.12E+00,2.56E+00,0.318
-7.18E-01,-1.49E+00,-7.88E-01,-7.66E-01,-6.73E-01,0.32
-2.75E+00,-2.89E+00,-1.47E+00,-1.80E+00,-1.80E+00,0.322
2.87E+00,2.68E+00,1.31E+00,8.90E-01,-1.76E-01,0.324
5.98E-01,2.35E+00,8.77E-01,3.05E+00,3.96E+00,0.326
5.68E-01,5.15E-01,1.45E+00,1.44E+00,1.32E+00,0.328
8.66E-01,2.81E-01,6.66E-01,4.90E-01,-4.29E-01,0.33
1.48E+00,-5.48E-02,2.06E+00,2.44E-01,-1.39E+00,0.332
-3.96E-01,1.35E-01,4.52E-01,7.97E-01,6.28E-01,0.334
-8.85E-02,5.54E-01,1.64E+00,2.35E+00,1.15E+00,0.336
1.24E+00,-1.30E-01,7.76E-01,-2.35E-01,-1.32E+00,0.338
3.18E+00,2.77E+00,8.28E-01,8.51E-01,-6.41E-01,0.34
3.01E-01,9.30E-01,1.41E+00,2.47E+00,9.45E-01,0.342
-1.38E-01,1.49E+00,-4.28E-02,1.14E+00,2.68E+00,0.344
7.10E-01,1.23E+00,7.04E-01,3.41E-01,9.27E-01,0.346
-1.51E+00,-3.36E+00,-1.12E+00,-2.47E+00,-1.83E+00,0.348
-7.66E-01,-6.08E-01,2.23E-01,1.09E-01,-1.04E+00,0.35
-9.16E-01,-1.54E+00,-2.02E+00,-2.50E+00,-2.60E+00,0.352
6.98E-01,4.34E-01,2.31E+00,1.58E+00,1.88E+00,0.354
-8.22E-02,1.09E+00,-6.13E-01,6.10E-01,3.51E-01,0.356
-1.06E+00,-1.31E+00,-1.04E+00,-1.17E+00,7.25E-01,0.358
1.14E+00,1.30E+00,1.52E+00,1.68E+00,3.97E-01,0.36
-5.39E-01,5.86E-01,-2.19E+00,-1.56E+00,-2.28E+00,0.362
-2.78E+00,-4.20E+00,-7.81E-01,-2.00E+00,-2.28E+00,0.364
-9.11E-01,-3.66E-01,-8.24E-01,-6.45E-02,1.97E+00,0.366
-1.19E+00,-9.18E-01,-2.05E+00,-2.46E+00,-3.97E-02,0.368
2.72E+00,9.10E-01,3.14E+00,1.25E+00,6.39E-02,0.37
-2.01E+00,-2.43E+00,-6.64E-01,-9.37E-01,-5.42E-01,0.372
1.44E-01,1.23E+00,-1.20E+00,-5.77E-01,-2.19E-02,0.374
5.34E-01,9.47E-03,-5.33E-01,-1.16E+00,-2.02E-01,0.376
-2.97E+00,-4.57E+00,-2.04E+00,-4.09E+00,-2.77E+00,0.378
-1.26E-01,2.42E-01,-1.01E-01,1.93E-01,1.24E-01,0.38
-2.03E-01,-2.07E+00,1.49E+00,-4.55E-01,-3.27E+00,0.382
-1.70E-01,8.18E-01,-1.55E+00,-1.99E-01,3.37E+00,0.384
1.06E+00,-9.18E-01,1.31E+00,-9.36E-01,-1.38E+00,0.386
-9.45E-01,3.14E-01,-7.09E-02,3.09E-01,-1.19E+00,0.388
-4.78E-01,-9.27E-01,-8.55E-01,-1.41E+00,-2.24E+00,0.39
1.92E+00,2.71E+00,1.12E+00,1.78E+00,3.22E+00,0.392
2.62E-01,-1.63E+00,-4.66E-01,-2.33E+00,-2.30E+00,0.394
1.36E+00,9.19E-01,4.71E-01,-4.75E-01,-1.41E+00,0.396
-1.63E+00,-1.02E+00,-1.55E+00,-1.19E+00,-1.10E+00,0.398
